ZIP Code,WarrentsPerZIP
"60413","3"
"63168","1"
"29180","1"
"86001","1"
"63004","2"
"78210","1"
"61953","1"
"62284","3"
"23457","2"
"91203","1"
"71602","2"
"92065","1"
"60515","1"
"61832","1"
"45429","1"
"77372","1"
"32206","1"
"72959","1"
"63010","428"
"03278","1"
"39041","1"
"23236","1"
"62275","4"
"63332","2"
"08016","1"
"38967","2"
"60173","1"
"23233","1"
"73013","2"
"70127","2"
"45213","2"
"18020","1"
"75968","1"
"95127","1"
"63117","482"
"62067","8"
"63114","1935"
"86401","1"
"80911","2"
"38732","2"
"37174","1"
"63236","3"
"75501","2"
"62441","3"
"37138","1"
"68115","3"
"39501","5"
"63334","4"
"61032","4"
"91106","2"
"65017","2"
"62110","2"
"71112","1"
"84565","1"
"77447","2"
"48067","2"
"65560","21"
"47374","2"
"94605","3"
"68701","1"
"77098","1"
"20009","4"
"74127","2"
"64138","10"
"55387","2"
"51048","1"
"62948","4"
"76305","2"
"63038","19"
"78621","1"
"85008","2"
"44266","1"
"17109","1"
"60014","1"
"79041","1"
"60625","2"
"60527","1"
"39212","4"
"78205","3"
"38320","3"
"42101","5"
"33870","1"
"53144","1"
"61048","1"
"22041","2"
"08816","1"
"59915","2"
"91602","1"
"19134","4"
"60628","25"
"60444","1"
"65103","2"
"85303","1"
"43551","4"
"67215","1"
"77380","1"
"72734","1"
"89103","2"
"73129","2"
"11209","1"
"63222","2"
"30179","3"
"46143","1"
"85253","1"
"34275","1"
"30075","1"
"78628","3"
"43208","1"
"65063","5"
"52806","5"
"78577","2"
"75146","1"
"63177","30"
"67846","1"
"78611","2"
"32506","1"
"65674","1"
"52176","1"
"60463","1"
"70806","2"
"49319","1"
"63344","4"
"38135","3"
"62848","1"
"47670","3"
"63140","108"
"46312","3"
"20019","1"
"30034","4"
"61604","17"
"75639","3"
"88005","1"
"52601","2"
"64155","2"
"42368","2"
"61745","1"
"38117","2"
"78654","1"
"30276","1"
"29566","1"
"65757","2"
"60466","3"
"67522","1"
"73139","1"
"62066","1"
"08078","1"
"80219","1"
"62245","3"
"50035","1"
"63047","7"
"62837","3"
"63341","6"
"46628","1"
"72118","1"
"66213","3"
"87068","1"
"32405","1"
"02121","1"
"22202","2"
"74008","1"
"74547","2"
"42301","2"
"66518","1"
"48219","2"
"72744","1"
"46205","1"
"60064","5"
"39629","1"
"62912","2"
"80525","1"
"62052","31"
"60622","2"
"45712","1"
"38655","1"
"48122","1"
"37918","3"
"85734","1"
"49010","1"
"30319","2"
"33064","1"
"95209","1"
"45895","1"
"67072","1"
"78219","2"
"30329","2"
"46201","3"
"61705","2"
"63638","5"
"54935","3"
"36869","2"
"52632","2"
"63877","2"
"60615","6"
"30314","1"
"60402","8"
"46385","1"
"91764","2"
"62426","2"
"90909","1"
"37412","5"
"39180","1"
"02143","1"
"63560","1"
"62222","25"
"88401","1"
"67218","3"
"75044","1"
"85020","1"
"63129","529"
"46563","5"
"68143","2"
"27101","3"
"20110","7"
"55330","1"
"37566","1"
"67130","1"
"63325","1"
"30085","1"
"33781","1"
"32351","1"
"72360","4"
"30076","2"
"62234","407"
"43228","2"
"46229","4"
"02554","2"
"40356","1"
"21218","1"
"75052","3"
"63070","88"
"49103","1"
"43614","2"
"38224","1"
"23072","1"
"30315","2"
"60115","3"
"70125","1"
"78041","1"
"62021","5"
"21207","1"
"83301","2"
"89113","1"
"62157","3"
"38626","1"
"64015","4"
"62298","53"
"48313","1"
"30030","1"
"90631","1"
"77023","1"
"44085","2"
"60304","4"
"75042","3"
"64127","19"
"23803","1"
"92505","1"
"72372","1"
"66604","1"
"65656","1"
"63031","541"
"63625","4"
"99705","1"
"92557","1"
"62016","7"
"33903","1"
"99518","1"
"63037","10"
"70113","2"
"84000","1"
"93550","1"
"65535","2"
"43130","2"
"36863","2"
"76542","1"
"94550","1"
"19805","2"
"46391","1"
"72653","4"
"62240","62"
"62025","181"
"92648","2"
"53511","4"
"62870","5"
"75206","2"
"73160","1"
"21223","1"
"90013","4"
"76367","1"
"39773","2"
"36115","4"
"10016","1"
"89106","1"
"65565","9"
"65248","8"
"63022","11"
"38863","1"
"62918","1"
"78550","2"
"55414","1"
"73044","1"
"63060","1"
"46923","1"
"10566","1"
"98204","1"
"66106","4"
"31326","1"
"62986","2"
"74436","1"
"63226","1"
"66565","1"
"65625","1"
"65836","2"
"63016","46"
"90723","1"
"34242","1"
"33311","5"
"60473","2"
"97223","3"
"65065","1"
"80015","2"
"33176","1"
"32225","1"
"80102","1"
"62028","5"
"60616","1"
"62454","3"
"66753","1"
"77477","1"
"63025","38"
"60040","2"
"92354","1"
"36136","1"
"75215","1"
"97301","3"
"62548","2"
"87111","5"
"60609","10"
"62236","64"
"64106","8"
"07836","1"
"63601","70"
"65738","1"
"46764","1"
"62292","4"
"91406","3"
"72076","1"
"62882","2"
"40216","1"
"62439","1"
"64024","2"
"91935","1"
"43150","3"
"32055","1"
"47129","3"
"65355","6"
"35808","1"
"76110","2"
"32907","1"
"38927","2"
"55445","2"
"60441","5"
"53785","1"
"63106","7129"
"82003","2"
"60060","1"
"54476","1"
"65668","1"
"30324","1"
"42431","1"
"47274","1"
"77520","2"
"38305","1"
"63412","2"
"64143","7"
"28269","1"
"46388","1"
"29812","1"
"39211","3"
"06611","1"
"02146","1"
"06902","1"
"61107","5"
"66611","2"
"35244","1"
"30082","1"
"55904","1"
"19002","1"
"63039","8"
"90016","4"
"63758","1"
"71601","5"
"65026","3"
"61820","9"
"38075","1"
"60015","1"
"62705","1"
"65049","2"
"79360","1"
"64491","2"
"92301","1"
"91706","1"
"37821","1"
"62702","17"
"60660","6"
"28790","1"
"98087","2"
"13501","3"
"92057","1"
"92551","1"
"98277","1"
"63637","8"
"63171","1"
"97544","1"
"45920","3"
"60627","1"
"79311","1"
"63363","1"
"75657","1"
"36374","3"
"39157","1"
"62253","4"
"62629","8"
"62026","11"
"48823","2"
"30909","2"
"68124","2"
"62249","38"
"63050","56"
"44060","4"
"30816","1"
"63121","5296"
"52748","1"
"62865","1"
"60069","1"
"97132","1"
"43605","1"
"76035","2"
"19067","2"
"36310","1"
"62215","6"
"66210","2"
"61523","5"
"02139","1"
"45810","1"
"61230","1"
"45902","1"
"72395","2"
"74881","1"
"31904","1"
"49720","1"
"32024","1"
"49240","1"
"38107","3"
"60634","4"
"64659","1"
"68138","1"
"62265","16"
"92128","1"
"38111","5"
"34683","1"
"62106","7"
"47711","1"
"92423","1"
"55121","1"
"32839","4"
"63035","3"
"89107","2"
"64053","6"
"48176","1"
"73112","1"
"21412","1"
"63143","666"
"47710","1"
"62806","1"
"65043","4"
"11722","1"
"98387","1"
"95358","4"
"44030","1"
"80222","1"
"70433","1"
"89169","8"
"63011","126"
"79416","1"
"70005","1"
"61821","2"
"36618","1"
"92284","1"
"91977","1"
"63326","7"
"44092","1"
"74333","1"
"38701","2"
"63303","210"
"77042","1"
"33618","1"
"67676","1"
"32211","3"
"95628","1"
"66013","4"
"62264","18"
"75043","2"
"55404","4"
"63023","32"
"66049","2"
"43061","1"
"62295","9"
"07666","1"
"67357","1"
"78728","2"
"39534","3"
"85014","3"
"65786","1"
"72759","1"
"14502","1"
"72029","12"
"30308","1"
"65231","4"
"79701","2"
"12180","1"
"30312","2"
"23237","1"
"67431","5"
"89129","2"
"49460","1"
"96313","2"
"55711","1"
"33435","1"
"39345","2"
"47620","1"
"62858","1"
"72761","2"
"64093","5"
"48360","2"
"73075","1"
"48375","1"
"63925","1"
"29607","2"
"92334","1"
"62252","2"
"53573","1"
"30274","3"
"15209","1"
"92109","1"
"62821","1"
"62114","1"
"50316","3"
"78626","1"
"63825","3"
"46034","1"
"72055","2"
"29223","2"
"38301","8"
"63660","13"
"62262","1"
"66609","2"
"62808","1"
"60617","6"
"73099","1"
"45709","1"
"73072","1"
"90002","2"
"62273","4"
"60657","4"
"63128","183"
"60478","2"
"60302","3"
"74134","2"
"53209","2"
"61866","2"
"88030","1"
"29042","1"
"84067","6"
"37377","1"
"28377","2"
"38606","1"
"63170","9"
"70123","2"
"74743","1"
"07078","1"
"65340","4"
"65020","3"
"85021","1"
"30518","1"
"33306","1"
"63440","2"
"55108","1"
"65804","15"
"33445","1"
"42220","1"
"30168","1"
"78209","4"
"30306","3"
"38762","1"
"46526","1"
"75189","1"
"61019","3"
"99508","1"
"64428","2"
"92392","1"
"65109","42"
"63379","40"
"38865","1"
"63174","1"
"55055","2"
"86510","1"
"38116","6"
"92584","1"
"75407","1"
"99507","1"
"65484","1"
"62074","1"
"92612","1"
"45244","1"
"49509","3"
"91351","1"
"60181","2"
"45780","2"
"30331","1"
"71913","1"
"88801","1"
"65202","85"
"39837","2"
"49417","1"
"48091","1"
"65652","3"
"50309","2"
"00631","3"
"62677","2"
"76018","1"
"76155","1"
"62063","2"
"70780","2"
"65224","8"
"55427","1"
"37777","1"
"46203","1"
"73567","1"
"80231","2"
"17405","2"
